act_dem_electors,act_rep_electors,dem_pct,dem_vote,electors,prop_dem_electors,prop_rep_electors,rating,rep_pct,rep_vote,state,total_vote,year
0,9,39.109097246427325,813479.0,9,4,5,Solid-R,60.890902753572675,1266546.0,AL,2080025.0,2008
0,3,38.9352150834029,123594.0,3,1,2,Lean-R,61.064784916597105,193841.0,AK,317435.0,2008
0,11,45.68609928038368,1034707.0,11,5,6,Toss-Up,54.31390071961633,1230111.0,AZ,2264818.0,2008
0,6,39.82827938928274,422310.0,6,2,4,Solid-R,60.17172061071726,638017.0,AR,1060327.0,2008
55,0,62.27844959158541,8274473.0,55,34,21,Solid-D,37.721550408414586,5011781.0,CA,13286254.0,2008
9,0,54.55063469317343,1288576.0,9,5,4,Likely-D,45.44936530682658,1073589.0,CO,2362165.0,2008
7,0,61.31833824975418,997772.0,7,4,3,Solid-D,38.68166175024582,629428.0,CT,1627200.0,2008
3,0,62.63813864988855,255459.0,3,2,1,Solid-D,37.36186135011144,152374.0,DE,407833.0,2008
3,0,93.40076833341567,245800.0,3,3,0,Solid-D,6.599231666584336,17367.0,DC,263167.0,2008
29,0,51.419660030899294,4282074.0,29,15,14,Toss-Up,48.580339969100706,4045624.0,FL,8327698.0,2008
0,16,47.37166448918821,1844123.0,16,8,8,Toss-Up,52.62833551081179,2048759.0,GA,3892882.0,2008
4,0,72.99372587845542,325871.0,4,3,1,Solid-D,27.00627412154459,120566.0,HI,446437.0,2008
0,4,36.97541019497945,236440.0,4,1,3,Solid-R,63.02458980502055,403012.0,ID,639452.0,2008
20,0,62.73426404455936,3419348.0,20,13,7,Solid-D,37.26573595544064,2031179.0,IL,5450527.0,2008
11,0,50.52195344537809,1374039.0,11,6,5,Likely-R,49.47804655462191,1345648.0,IN,2719687.0,2008
6,0,54.84877778946735,828940.0,6,3,3,Toss-Up,45.15122221053265,682379.0,IA,1511319.0,2008
0,6,42.38772418109056,514765.0,6,3,3,Likely-R,57.61227581890944,699655.0,KS,1214420.0,2008
0,8,41.76657241229539,751985.0,8,3,5,Solid-R,58.23342758770461,1048462.0,KY,1800447.0,2008
0,8,40.542825838414636,782989.0,8,3,5,Solid-R,59.45717416158537,1148275.0,LA,1931264.0,2008
4,0,58.8295249834076,421923.0,4,2,2,Likely-D,41.1704750165924,295273.0,ME,717196.0,2008
10,0,62.93008729288553,1629467.0,10,6,4,Solid-D,37.06991270711447,959862.0,MD,2589329.0,2008
11,0,63.19707821335295,1904097.0,11,7,4,Solid-D,36.80292178664705,1108854.0,MA,3012951.0,2008
16,0,58.37130157615452,2872579.0,16,9,7,Lean-D,41.62869842384548,2048639.0,MI,4921218.0,2008
10,0,55.22937499539273,1573354.0,10,6,4,Lean-D,44.77062500460726,1275409.0,MN,2848763.0,2008
0,6,43.358069007136166,554662.0,6,3,3,Solid-R,56.64193099286384,724597.0,MS,1279259.0,2008
0,10,49.93242085032335,1441911.0,10,5,5,Likely-R,50.06757914967665,1445814.0,MO,2887725.0,2008
0,3,48.83059671605927,231667.0,3,1,2,Likely-R,51.16940328394073,242763.0,MT,474430.0,2008
0,5,42.39092557783436,333319.0,5,2,3,Solid-R,57.60907442216564,452979.0,NE,786298.0,2008
6,0,56.3867381251961,533736.0,6,3,3,Lean-D,43.6132618748039,412827.0,NV,946563.0,2008
4,0,54.868541120109505,384826.0,4,2,2,Lean-D,45.131458879890495,316534.0,NH,701360.0,2008
14,0,57.86462987142394,2215422.0,14,8,6,Solid-D,42.13537012857605,1613207.0,NJ,3828629.0,2008
5,0,57.664900018797596,472422.0,5,3,2,Likely-D,42.33509998120241,346832.0,NM,819254.0,2008
29,0,65.76385737978427,4645332.0,29,19,10,Solid-D,34.23614262021574,2418323.0,NY,7063655.0,2008
15,0,50.16596330006732,2142651.0,15,8,7,Toss-Up,49.83403669993269,2128474.0,NC,4271125.0,2008
0,3,45.59134371803188,141278.0,3,1,2,Solid-R,54.40865628196813,168601.0,ND,309879.0,2008
18,0,52.33384076225413,2940044.0,18,9,9,Toss-Up,47.66615923774587,2677820.0,OH,5617864.0,2008
0,7,34.3549188773065,502496.0,7,2,5,Solid-R,65.64508112269351,960165.0,OK,1462661.0,2008
7,0,58.41372117722719,1037291.0,7,4,3,Likely-D,41.58627882277282,738475.0,OR,1775766.0,2008
20,0,55.229703815484456,3276363.0,20,11,9,Lean-D,44.77029618451555,2655885.0,PA,5932248.0,2008
4,0,64.19813750914577,296571.0,4,3,1,Solid-D,35.80186249085423,165391.0,RI,461962.0,2008
0,9,45.45557081079087,862449.0,9,4,5,Solid-R,54.54442918920913,1034896.0,SC,1897345.0,2008
0,3,45.704292765884624,170924.0,3,1,2,Solid-R,54.295707234115376,203054.0,SD,373978.0,2008
0,11,42.36852819764554,1087437.0,11,5,6,Solid-R,57.63147180235446,1479178.0,TN,2566615.0,2008
0,38,44.06406324905928,3528633.0,38,17,21,Lean-R,55.93593675094072,4479328.0,TX,8007961.0,2008
0,6,35.47363862725994,327670.0,6,2,4,Likely-R,64.52636137274007,596030.0,UT,923700.0,2008
3,0,68.8991817393381,219262.0,3,2,1,Solid-D,31.1008182606619,98974.0,VT,318236.0,2008
13,0,53.18258440612755,1959532.0,13,7,6,Likely-D,46.81741559387245,1725005.0,VA,3684537.0,2008
12,0,58.75202680210895,1750848.0,12,7,5,Solid-D,41.24797319789105,1229216.0,WA,2980064.0,2008
0,5,43.32625623286275,303857.0,5,2,3,Solid-R,56.67374376713725,397466.0,WV,701323.0,2008
10,0,57.055678247818406,1677211.0,10,6,4,Lean-D,42.94432175218159,1262393.0,WI,2939604.0,2008
0,3,33.43797664490409,82868.0,3,1,2,Solid-R,66.56202335509592,164958.0,WY,247826.0,2008
0,9,38.78377146656229,795696.0,9,3,6,Solid-R,61.216228533437715,1255925.0,AL,2051621.0,2012
